Country	Year	Value
Cameroon	1994	165300
Cameroon	1995	187294
Cameroon	1996	160192
Cameroon	1997	179698
Cameroon	1998	134000
Cameroon	1999	165000
Cameroon	2000	238170
Cameroon	2001	254102
Cameroon	2002	238412
Cameroon	2003	313723
Cameroon	2004	294886
Cameroon	2005	265457
Colombia	1994	1703718
Colombia	1995	1360278
Colombia	1996	1476523
Colombia	1997	1586029
Colombia	1998	1408820
Colombia	1999	1697518
Colombia	2000	1564400
Colombia	2001	1344231
Colombia	2002	1460245
Colombia	2003	1424819
Colombia	2004	1471394
Colombia	2005	1621746
Costa Rica	1994	1868894
Costa Rica	1995	2022134
Costa Rica	1996	2102830
Costa Rica	1997	2025549
Costa Rica	1998	2288497
Costa Rica	1999	2229700
Costa Rica	2000	2079280
Costa Rica	2001	1959272
Costa Rica	2002	1873346
Costa Rica	2003	2042570
Costa Rica	2004	2016687
Costa Rica	2005	1775519
Ecuador	1994	3007925
Ecuador	1995	3665182
Ecuador	1996	3866079
Ecuador	1997	4462099
Ecuador	1998	3855643
Ecuador	1999	3966126
Ecuador	2000	3993968
Ecuador	2001	3990427
Ecuador	2002	4199156
Ecuador	2003	4664814
Ecuador	2004	4521458
Ecuador	2005	4764193
Guatemala	1994	567882
Guatemala	1995	635503
Guatemala	1996	611183
Guatemala	1997	659392
Guatemala	1998	794240
Guatemala	1999	623583
Guatemala	2000	801515
Guatemala	2001	873829
Guatemala	2002	980557
Guatemala	2003	936114
Guatemala	2004	1058161
Guatemala	2005	1129477
Honduras	1994	445612
Honduras	1995	521637
Honduras	1996	573710
Honduras	1997	488671
Honduras	1998	467281
Honduras	1999	112678
Honduras	2000	374964
Honduras	2001	428605
Honduras	2002	441407
Honduras	2003	453164
Honduras	2004	571686
Honduras	2005	545527
Panama	1994	712248
Panama	1995	690017
Panama	1996	631953
Panama	1997	608208
Panama	1998	462415
Panama	1999	593364
Panama	2000	489284
Panama	2001	426081
Panama	2002	403923
Panama	2003	385320
Panama	2004	397940
Panama	2005	352480
Philippines	1994	1155182
Philippines	1995	1213411
Philippines	1996	1252196
Philippines	1997	1143336
Philippines	1998	1149552
Philippines	1999	1319632
Philippines	2000	1599920
Philippines	2001	2129309
Philippines	2002	1684986
Philippines	2003	1829384
Philippines	2004	1797343
Philippines	2005	2024322
United Arab Emirates	1994	10262
United Arab Emirates	1995	15387
United Arab Emirates	1996	12753
United Arab Emirates	1997	60000
United Arab Emirates	1998	40000
United Arab Emirates	1999	35000
United Arab Emirates	2000	30000
United Arab Emirates	2001	47000
United Arab Emirates	2002	7700
United Arab Emirates	2003	3337
United Arab Emirates	2004	110000
United Arab Emirates	2005	110000
United States of America	1994	383216
United States of America	1995	397546
United States of America	1996	408741
United States of America	1997	418823
United States of America	1998	416520
United States of America	1999	418813
United States of America	2000	400188
United States of America	2001	406968
United States of America	2002	416600
United States of America	2003	427543
United States of America	2004	445757
United States of America	2005	449647

