area,village,grid,fup,vname,vu,grouped1,grouped2,scattered1,scattered2,population
A1,154,6F,5,Rafin Marke,Raf,54,0,0,0,402
A1,155,6F,5,Kukar Maikiya,Raf,61,0,0,0,523
A1,153,6F,5,Kawari,Raf,15,1,20,0,230
A1,953,6F,5,Kawari II,Raf,0,0,54,0,375
A1,218,8E,7,Nasakar,Kar,83,2,0,0,468
A1,213,8E,7,Kargo Kudu,Kar,0,0,55,0,381
A1,220,8E,7,Bakan Sabara,Kar,31,0,0,0,170
A1,920,8E,7,Bakan Sabara II,Kar,0,0,7,0,35
A2,305,10D,8,Ungwar Duhuwa,Gar,22,0,22,0,154
A2,306,9D,8,Kafin Giye,Gar,0,0,11,0,49
A2,308,9D,8,Gunzara,Gar,23,1,21,0,297
A2,304,9C,8,Jaya,Gar,87,4,19,0,507
A2,602,10C,8,Dan Habu,Bud,19,0,8,0,89
A2,604,10C,8,Koyoma,Bud,35,0,0,0,119
A2,657,10C,8,Kundubu,Say,17,0,4,0,83
A2,353,9C,8,Balalashi,Dok,29,4,2,0,199
A2,352,9C,8,Gutsatsi,Dok,0,0,0,0,50
A2,351,9D,8,Tsale,Dok,46,1,0,0,229
A2,356,8D,6,Rai Rai Dok.,Dok,0,0,34,0,234
A2,357,8C,6,Koguram Sabuwa,Dok,44,1,1,0,381
A2,358,8C,6,Tinbin Galadima,Dok,26,1,0,0,124
A2,359,8C,6,Duhuwar Tinbi,Dok,43,0,0,0,203
A2,370,7C,6,Kusa,Dok,40,2,20,0,160
A2,361,7C,6,Faca Faca,Dok,0,0,11,0,222
A2,365,7C,6,Danbagin Kanawa,Dok,20,0,1,0,111
A2,364,7C,6,Chaheunawa,Dok,32,1,6,0,181
A2,372,7C,6,Ba'wa,Dok,0,0,25,0,140
A2,371,6C,6,Dakace,Dok,49,0,4,0,347
A2,56,6C,6,Dukawa,Kit,49,3,29,0,428
A2,54,7C,6,Mukawa,Kit,15,0,0,0,76
A2,55,7C,6,Matsari,Kit,68,0,5,0,399
A2,373,8C,6,Sako,Kit,20,0,6,0,125
A2,52,8D,6,Rai Rai Kit,Kit,0,0,21,0,122
A2,51,8D,6,Dususu,Kit,22,0,0,0,200
A2,951,8D,6,Dususu II,Kit,0,0,17,0,116
A2,66,6D,6,Kita,Kit,75,0,0,0,528
A2,65,6D,6,Jarmawa,Kit,68,3,0,0,406
A2,64,6D,5,Malamawa,Kit,41,2,8,0,230
A2,2,7D,7,Danbuzu,Jan,0,0,11,0,50
A2,1,7E,7,Jangari,Jan,44,1,23,0,357
A2,3,7D,7,Ufala Jan.,Jan,0,0,16,0,151
A2,67,7D,7,Ufala Kit.,Kit,0,0,21,0,151
A2,4,6E,5,Tagwaye,Jan,50,0,0,0,375
A2,226,7F,5,Tagwaye Sabon Gar,Kar,15,0,0,0,60
A2,5,6E,5,Farjak,Kar,0,0,22,0,129
A2,6,6E,5,Kutu,Kar,53,2,40,0,532
A2,152,5E,5,Danbarage,Raf,74,1,8,0,540
A2,156,,5,Danbarage II,Raf,14,0,2,0,80
A2,554,5F,5,Rafin Jatau,Aju,26,0,9,0,122
A2,555,5F,5,Knadage,Aju,60,1,1,0,349
